#complex,groundtruth
#2-variable linear MBA expression
-x-1,~x
-1*(~(x&(7*(a&b)+6*(a&~b)-1*a-5*~(a&~a)+5*~(a|b)+6*~(a|~b))))+(7*(a&b)+6*(a&~b)-1*a-5*~(a&~a)+5*~(a|b)+6*~(a|~b))-2*(~(x^(7*(a&b)+6*(a&~b)-1*a-5*~(a&~a)+5*~(a|b)+6*~(a|~b))))+2*x+(~(x&~(7*(a&b)+6*(a&~b)-1*a-5*~(a&~a)+5*~(a|b)+6*~(a|~b))))-2*(x|(7*(a&b)+6*(a&~b)-1*a-5*~(a&~a)+5*~(a|b)+6*~(a|~b)))+~x-1*(~(x&~x))+4*(~(x|(7*(a&b)+6*(a&~b)-1*a-5*~(a&~a)+5*~(a|b)+6*~(a|~b))))-1*(~(x|~(7*(a&b)+6*(a&~b)-1*a-5*~(a&~a)+5*~(a|b)+6*~(a|~b))))+2*(x&~(7*(a&b)+6*(a&~b)-1*a-5*~(a&~a)+5*~(a|b)+6*~(a|~b)))+3*(x&(7*(a&b)+6*(a&~b)-1*a-5*~(a&~a)+5*~(a|b)+6*~(a|~b))),2*(x|~b)-2*(x^b),(7*(a&b)+6*(a&~b)-1*a-5*~(a&~a)+5*~(a|b)+6*~(a|~b))
(~((3*(a&b)+2*(a&~b)-1*(a^b)-2*b+3*~(a|~b))&~y))-1*(~((3*(a&b)+2*(a&~b)-1*(a^b)-2*b+3*~(a|~b))&y))-1*(~((3*(a&b)+2*(a&~b)-1*(a^b)-2*b+3*~(a|~b))&~(3*(a&b)+2*(a&~b)-1*(a^b)-2*b+3*~(a|~b))))+~y-3*~(3*(a&b)+2*(a&~b)-1*(a^b)-2*b+3*~(a|~b))+y+3*(~((3*(a&b)+2*(a&~b)-1*(a^b)-2*b+3*~(a|~b))|y))+3*(~((3*(a&b)+2*(a&~b)-1*(a^b)-2*b+3*~(a|~b))|~y))+2*((3*(a&b)+2*(a&~b)-1*(a^b)-2*b+3*~(a|~b))&~y),1*a,(3*(a&b)+2*(a&~b)-1*(a^b)-2*b+3*~(a|~b))
-1*(~(x^(3*(a&b)+2*(a&~b)-2*a-7*~(a|b)-6*~(a|~b)+7*~a)))-5*(~(x&~(3*(a&b)+2*(a&~b)-2*a-7*~(a|b)-6*~(a|~b)+7*~a)))+2*(x|~(3*(a&b)+2*(a&~b)-2*a-7*~(a|b)-6*~(a|~b)+7*~a))-1*(x^(3*(a&b)+2*(a&~b)-2*a-7*~(a|b)-6*~(a|~b)+7*~a))+(x|(3*(a&b)+2*(a&~b)-2*a-7*~(a|b)-6*~(a|~b)+7*~a))+x+3*(~(x|(3*(a&b)+2*(a&~b)-2*a-7*~(a|b)-6*~(a|~b)+7*~a)))+9*(~(x|~(3*(a&b)+2*(a&~b)-2*a-7*~(a|b)-6*~(a|~b)+7*~a)))-4*(x&~(3*(a&b)+2*(a&~b)-2*a-7*~(a|b)-6*~(a|~b)+7*~a))+6*(x&(3*(a&b)+2*(a&~b)-2*a-7*~(a|b)-6*~(a|~b)+7*~a)),-~b+4*b,(3*(a&b)+2*(a&~b)-2*a-7*~(a|b)-6*~(a|~b)+7*~a)
-1*((-9*(a&b)-9*(a&~b)+3*(a|b)+7*(a|~b)-7*~(a|b)-3*~(a|~b))^y)-2*((-9*(a&b)-9*(a&~b)+3*(a|b)+7*(a|~b)-7*~(a|b)-3*~(a|~b))|y)+((-9*(a&b)-9*(a&~b)+3*(a|b)+7*(a|~b)-7*~(a|b)-3*~(a|~b))|~y)+(~((-9*(a&b)-9*(a&~b)+3*(a|b)+7*(a|~b)-7*~(a|b)-3*~(a|~b))&~(-9*(a&b)-9*(a&~b)+3*(a|b)+7*(a|~b)-7*~(a|b)-3*~(a|~b))))+4*(~((-9*(a&b)-9*(a&~b)+3*(a|b)+7*(a|~b)-7*~(a|b)-3*~(a|~b))|~y))+1*((-9*(a&b)-9*(a&~b)+3*(a|b)+7*(a|~b)-7*~(a|b)-3*~(a|~b))&~y)+1*((-9*(a&b)-9*(a&~b)+3*(a|b)+7*(a|~b)-7*~(a|b)-3*~(a|~b))&y),1*(~(a&~y))+1*~a,(-9*(a&b)-9*(a&~b)+3*(a|b)+7*(a|~b)-7*~(a|b)-3*~(a|~b))
2*(~(x&(7*(a&b)-5*(a&~b)+5*~(a&~a)-11*~(a&~b)+6*~(a|b)+7*~(a|~b))))-4*(~(x^(7*(a&b)-5*(a&~b)+5*~(a&~a)-11*~(a&~b)+6*~(a|b)+7*~(a|~b))))-1*x-2*(x^(7*(a&b)-5*(a&~b)+5*~(a&~a)-11*~(a&~b)+6*~(a|b)+7*~(a|~b)))-1*(~(x&~(7*(a&b)-5*(a&~b)+5*~(a&~a)-11*~(a&~b)+6*~(a|b)+7*~(a|~b))))+~(7*(a&b)-5*(a&~b)+5*~(a&~a)-11*~(a&~b)+6*~(a|b)+7*~(a|~b))+~x-2*(~(x|(7*(a&b)-5*(a&~b)+5*~(a&~a)-11*~(a&~b)+6*~(a|b)+7*~(a|~b))))-3*(~(x|~(7*(a&b)-5*(a&~b)+5*~(a&~a)-11*~(a&~b)+6*~(a|b)+7*~(a|~b))))-3*(x&~(7*(a&b)-5*(a&~b)+5*~(a&~a)-11*~(a&~b)+6*~(a|b)+7*~(a|~b)))+3*(x&(7*(a&b)-5*(a&~b)+5*~(a&~a)-11*~(a&~b)+6*~(a|b)+7*~(a|~b))),-3*(~(x&~x)),(7*(a&b)-5*(a&~b)+5*~(a&~a)-11*~(a&~b)+6*~(a|b)+7*~(a|~b))
-2*((6*(a&b)+6*(a&~b)-3*(a|~b)-2*~(a&~a)+5*~(a|b)+2*~(a|~b))^y)-1*(6*(a&b)+6*(a&~b)-3*(a|~b)-2*~(a&~a)+5*~(a|b)+2*~(a|~b))-1*(~((6*(a&b)+6*(a&~b)-3*(a|~b)-2*~(a&~a)+5*~(a|b)+2*~(a|~b))^y))-1*((6*(a&b)+6*(a&~b)-3*(a|~b)-2*~(a&~a)+5*~(a|b)+2*~(a|~b))|~y)+2*(~((6*(a&b)+6*(a&~b)-3*(a|~b)-2*~(a&~a)+5*~(a|b)+2*~(a|~b))|y))+2*(~((6*(a&b)+6*(a&~b)-3*(a|~b)-2*~(a&~a)+5*~(a|b)+2*~(a|~b))|~y))+4*((6*(a&b)+6*(a&~b)-3*(a|~b)-2*~(a&~a)+5*~(a|b)+2*~(a|~b))&~y)+4*((6*(a&b)+6*(a&~b)-3*(a|~b)-2*~(a&~a)+5*~(a|b)+2*~(a|~b))&y),1*(~(a&~a))-(~(a&y)),(6*(a&b)+6*(a&~b)-3*(a|~b)-2*~(a&~a)+5*~(a|b)+2*~(a|~b))
-1*(~(x&(-4*(a&b)-1*(a&~b)+4*b+1*~(a&~a)-1*~(a|b)-4*~(a|~b))))-1*~(-4*(a&b)-1*(a&~b)+4*b+1*~(a&~a)-1*~(a|b)-4*~(a|~b))-1*(~(x&~x))+~x-1*(x|~(-4*(a&b)-1*(a&~b)+4*b+1*~(a&~a)-1*~(a|b)-4*~(a|~b)))+3*(x|(-4*(a&b)-1*(a&~b)+4*b+1*~(a&~a)-1*~(a|b)-4*~(a|~b)))-1*(~(x&~(-4*(a&b)-1*(a&~b)+4*b+1*~(a&~a)-1*~(a|b)-4*~(a|~b))))+4*(~(x|(-4*(a&b)-1*(a&~b)+4*b+1*~(a&~a)-1*~(a|b)-4*~(a|~b))))+1*(~(x|~(-4*(a&b)-1*(a&~b)+4*b+1*~(a&~a)-1*~(a|b)-4*~(a|~b))))+2*(x&~(-4*(a&b)-1*(a&~b)+4*b+1*~(a&~a)-1*~(a|b)-4*~(a|~b)))+1*(x&(-4*(a&b)-1*(a&~b)+4*b+1*~(a&~a)-1*~(a|b)-4*~(a|~b))),1*(x^b)+1*b,(-4*(a&b)-1*(a&~b)+4*b+1*~(a&~a)-1*~(a|b)-4*~(a|~b))
((4*(a&b)-4*(a&~b)-3*b+5*~(a&b)-5*~(a|b)-2*~(a|~b))|y)+~(4*(a&b)-4*(a&~b)-3*b+5*~(a&b)-5*~(a|b)-2*~(a|~b))+2*y-1*(4*(a&b)-4*(a&~b)-3*b+5*~(a&b)-5*~(a|b)-2*~(a|~b))-1*((4*(a&b)-4*(a&~b)-3*b+5*~(a&b)-5*~(a|b)-2*~(a|~b))|~y)-1*((4*(a&b)-4*(a&~b)-3*b+5*~(a&b)-5*~(a|b)-2*~(a|~b))^y)-1*(~((4*(a&b)-4*(a&~b)-3*b+5*~(a&b)-5*~(a|b)-2*~(a|~b))&y))+(~((4*(a&b)-4*(a&~b)-3*b+5*~(a&b)-5*~(a|b)-2*~(a|~b))&~(4*(a&b)-4*(a&~b)-3*b+5*~(a&b)-5*~(a|b)-2*~(a|~b))))+2*~y-1*(~((4*(a&b)-4*(a&~b)-3*b+5*~(a&b)-5*~(a|b)-2*~(a|~b))|~y)),2*(~(a&~y)),(4*(a&b)-4*(a&~b)-3*b+5*~(a&b)-5*~(a|b)-2*~(a|~b))
-1*(-3*(a&b)+2*(a&~b)+4*b+2*~(a|b)-3*~(a|~b)-2*~b)+2*x+(~(x&(-3*(a&b)+2*(a&~b)+4*b+2*~(a|b)-3*~(a|~b)-2*~b)))+(~(x^(-3*(a&b)+2*(a&~b)+4*b+2*~(a|b)-3*~(a|~b)-2*~b)))+(~(x&~(-3*(a&b)+2*(a&~b)+4*b+2*~(a|b)-3*~(a|~b)-2*~b)))-2*(x|(-3*(a&b)+2*(a&~b)+4*b+2*~(a|b)-3*~(a|~b)-2*~b))-1*~x+(~(x&~x))+2*(x|~(-3*(a&b)+2*(a&~b)+4*b+2*~(a|b)-3*~(a|~b)-2*~b))-5*(~(x|(-3*(a&b)+2*(a&~b)+4*b+2*~(a|b)-3*~(a|~b)-2*~b)))-5*(x&~(-3*(a&b)+2*(a&~b)+4*b+2*~(a|b)-3*~(a|~b)-2*~b))-4*(x&(-3*(a&b)+2*(a&~b)+4*b+2*~(a|b)-3*~(a|~b)-2*~b)),-(x^b),(-3*(a&b)+2*(a&~b)+4*b+2*~(a|b)-3*~(a|~b)-2*~b)
-1*(~((2*(a&b)+1*(a&~b)-1*~(a&~b)+2*~(a|b)+2*~(a|~b)-1*~a)^y))-5*(~((2*(a&b)+1*(a&~b)-1*~(a&~b)+2*~(a|b)+2*~(a|~b)-1*~a)&~y))+2*((2*(a&b)+1*(a&~b)-1*~(a&~b)+2*~(a|b)+2*~(a|~b)-1*~a)|~y)-1*((2*(a&b)+1*(a&~b)-1*~(a&~b)+2*~(a|b)+2*~(a|~b)-1*~a)^y)+((2*(a&b)+1*(a&~b)-1*~(a&~b)+2*~(a|b)+2*~(a|~b)-1*~a)|y)+(2*(a&b)+1*(a&~b)-1*~(a&~b)+2*~(a|b)+2*~(a|~b)-1*~a)+3*(~((2*(a&b)+1*(a&~b)-1*~(a&~b)+2*~(a|b)+2*~(a|~b)-1*~a)|y))+9*(~((2*(a&b)+1*(a&~b)-1*~(a&~b)+2*~(a|b)+2*~(a|~b)-1*~a)|~y))-4*((2*(a&b)+1*(a&~b)-1*~(a&~b)+2*~(a|b)+2*~(a|~b)-1*~a)&~y)+6*((2*(a&b)+1*(a&~b)-1*~(a&~b)+2*~(a|b)+2*~(a|~b)-1*~a)&y),-~y+4*y,(2*(a&b)+1*(a&~b)-1*~(a&~b)+2*~(a|b)+2*~(a|~b)-1*~a)
2*(x^(-10*(a&b)-15*(a&~b)+4*(a^b)+11*(a|~b)-11*~(a|b)-3*~(a|~b)))-1*~x+~(-10*(a&b)-15*(a&~b)+4*(a^b)+11*(a|~b)-11*~(a|b)-3*~(a|~b))+(~(x&~x))+2*(~(x&~(-10*(a&b)-15*(a&~b)+4*(a^b)+11*(a|~b)-11*~(a|b)-3*~(a|~b))))-1*(x|~(-10*(a&b)-15*(a&~b)+4*(a^b)+11*(a|~b)-11*~(a|b)-3*~(a|~b)))-2*x+(x|(-10*(a&b)-15*(a&~b)+4*(a^b)+11*(a|~b)-11*~(a|b)-3*~(a|~b)))-1*(~(x|(-10*(a&b)-15*(a&~b)+4*(a^b)+11*(a|~b)-11*~(a|b)-3*~(a|~b))))-5*(~(x|~(-10*(a&b)-15*(a&~b)+4*(a^b)+11*(a|~b)-11*~(a|b)-3*~(a|~b))))-2*(x&~(-10*(a&b)-15*(a&~b)+4*(a^b)+11*(a|~b)-11*~(a|b)-3*~(a|~b))),1*(~(x^b)),(-10*(a&b)-15*(a&~b)+4*(a^b)+11*(a|~b)-11*~(a|b)-3*~(a|~b))
~(1*(a&b)+1*(a&~b)+11*(a|b)-11*(a|~b)+11*~(a|b)-11*~(a|~b))-1*y+((1*(a&b)+1*(a&~b)+11*(a|b)-11*(a|~b)+11*~(a|b)-11*~(a|~b))|~y)-1*(~((1*(a&b)+1*(a&~b)+11*(a|b)-11*(a|~b)+11*~(a|b)-11*~(a|~b))^y))+((1*(a&b)+1*(a&~b)+11*(a|b)-11*(a|~b)+11*~(a|b)-11*~(a|~b))^y)+~y-1*(~((1*(a&b)+1*(a&~b)+11*(a|b)-11*(a|~b)+11*~(a|b)-11*~(a|~b))&~(1*(a&b)+1*(a&~b)+11*(a|b)-11*(a|~b)+11*~(a|b)-11*~(a|~b))))+((1*(a&b)+1*(a&~b)+11*(a|b)-11*(a|~b)+11*~(a|b)-11*~(a|~b))|y)-2*(~((1*(a&b)+1*(a&~b)+11*(a|b)-11*(a|~b)+11*~(a|b)-11*~(a|~b))|y))-2*(~((1*(a&b)+1*(a&~b)+11*(a|b)-11*(a|~b)+11*~(a|b)-11*~(a|~b))|~y))-2*((1*(a&b)+1*(a&~b)+11*(a|b)-11*(a|~b)+11*~(a|b)-11*~(a|~b))&~y)-1*((1*(a&b)+1*(a&~b)+11*(a|b)-11*(a|~b)+11*~(a|b)-11*~(a|~b))&y),-2*(~(a&~y))+1*(~(a&y)),(1*(a&b)+1*(a&~b)+11*(a|b)-11*(a|~b)+11*~(a|b)-11*~(a|~b))
-1*x-1*(x^(1*(a&b)-1*(a&~b)+1*(a^b)+6*~(a|b)+6*~(a|~b)-6*~a))-2*(~(x&~x))+(x|(1*(a&b)-1*(a&~b)+1*(a^b)+6*~(a|b)+6*~(a|~b)-6*~a))+5*(~(x|(1*(a&b)-1*(a&~b)+1*(a^b)+6*~(a|b)+6*~(a|~b)-6*~a)))+3*(~(x|~(1*(a&b)-1*(a&~b)+1*(a^b)+6*~(a|b)+6*~(a|~b)-6*~a)))+5*(x&~(1*(a&b)-1*(a&~b)+1*(a^b)+6*~(a|b)+6*~(a|~b)-6*~a))+4*(x&(1*(a&b)-1*(a&~b)+1*(a^b)+6*~(a|b)+6*~(a|~b)-6*~a)),1*~x+2*(x|~b),(1*(a&b)-1*(a&~b)+1*(a^b)+6*~(a|b)+6*~(a|~b)-6*~a)
-1*(~((6*(a&b)+1*a-6*~(a^b)+6*~(a|b))&y))+2*y-1*~(6*(a&b)+1*a-6*~(a^b)+6*~(a|b))+(~((6*(a&b)+1*a-6*~(a^b)+6*~(a|b))^y))-1*((6*(a&b)+1*a-6*~(a^b)+6*~(a|b))|y)+((6*(a&b)+1*a-6*~(a^b)+6*~(a|b))|~y)-1*(~((6*(a&b)+1*a-6*~(a^b)+6*~(a|b))|y))-1*(~((6*(a&b)+1*a-6*~(a^b)+6*~(a|b))|~y))-1*((6*(a&b)+1*a-6*~(a^b)+6*~(a|b))&~y)-4*((6*(a&b)+1*a-6*~(a^b)+6*~(a|b))&y),-(a^y)-(~(a&~a)),(6*(a&b)+1*a-6*~(a^b)+6*~(a|b))
(x^(1*(a&b)-1*(a&~b)-1*(a^b)-2*~(a|b)+2*~(a|~b)+2*~b))-1*x+(~(x^(1*(a&b)-1*(a&~b)-1*(a^b)-2*~(a|b)+2*~(a|~b)+2*~b)))-2*(1*(a&b)-1*(a&~b)-1*(a^b)-2*~(a|b)+2*~(a|~b)+2*~b)+2*(~(x&(1*(a&b)-1*(a&~b)-1*(a^b)-2*~(a|b)+2*~(a|~b)+2*~b)))-1*(~(x&~(1*(a&b)-1*(a&~b)-1*(a^b)-2*~(a|b)+2*~(a|~b)+2*~b)))-1*(~(x&~x))-1*(x|(1*(a&b)-1*(a&~b)-1*(a^b)-2*~(a|b)+2*~(a|~b)+2*~b))+2*(~(x|~(1*(a&b)-1*(a&~b)-1*(a^b)-2*~(a|b)+2*~(a|~b)+2*~b)))+1*(x&~(1*(a&b)-1*(a&~b)-1*(a^b)-2*~(a|b)+2*~(a|~b)+2*~b))+6*(x&(1*(a&b)-1*(a&~b)-1*(a^b)-2*~(a|b)+2*~(a|~b)+2*~b)),1*(x|~b),(1*(a&b)-1*(a&~b)-1*(a^b)-2*~(a|b)+2*~(a|~b)+2*~b)
~y+5*((1*(a&b)+1*(a&~b)+2*(a|b)-2*a-2*~(a|~b))|~y)-1*(1*(a&b)+1*(a&~b)+2*(a|b)-2*a-2*~(a|~b))-1*(~((1*(a&b)+1*(a&~b)+2*(a|b)-2*a-2*~(a|~b))&~(1*(a&b)+1*(a&~b)+2*(a|b)-2*a-2*~(a|~b))))-1*((1*(a&b)+1*(a&~b)+2*(a|b)-2*a-2*~(a|~b))^y)-1*(~((1*(a&b)+1*(a&~b)+2*(a|b)-2*a-2*~(a|~b))&~y))-1*(~((1*(a&b)+1*(a&~b)+2*(a|b)-2*a-2*~(a|~b))^y))-3*(~((1*(a&b)+1*(a&~b)+2*(a|b)-2*a-2*~(a|~b))|y))+3*(~((1*(a&b)+1*(a&~b)+2*(a|b)-2*a-2*~(a|~b))|~y))-4*((1*(a&b)+1*(a&~b)+2*(a|b)-2*a-2*~(a|~b))&~y)-1*((1*(a&b)+1*(a&~b)+2*(a|b)-2*a-2*~(a|~b))&y),1*y-(a|y),(1*(a&b)+1*(a&~b)+2*(a|b)-2*a-2*~(a|~b))
(~(x&~x))+(8*(a&b)+5*(a&~b)-5*a-2*~(a&~b)+2*~(a|b)+3*~(a|~b))-2*(x^(8*(a&b)+5*(a&~b)-5*a-2*~(a&~b)+2*~(a|b)+3*~(a|~b)))-1*~(8*(a&b)+5*(a&~b)-5*a-2*~(a&~b)+2*~(a|b)+3*~(a|~b))+x-1*(~(x&~(8*(a&b)+5*(a&~b)-5*a-2*~(a&~b)+2*~(a|b)+3*~(a|~b))))-2*~x-3*(~(x|(8*(a&b)+5*(a&~b)-5*a-2*~(a&~b)+2*~(a|b)+3*~(a|~b))))-2*(~(x|~(8*(a&b)+5*(a&~b)-5*a-2*~(a&~b)+2*~(a|b)+3*~(a|~b))))-4*(x&~(8*(a&b)+5*(a&~b)-5*a-2*~(a&~b)+2*~(a|b)+3*~(a|~b)))-3*(x&(8*(a&b)+5*(a&~b)-5*a-2*~(a&~b)+2*~(a|b)+3*~(a|~b))),-5*(~(x&b))-(~(x^b)),(8*(a&b)+5*(a&~b)-5*a-2*~(a&~b)+2*~(a|b)+3*~(a|~b))
2*(8*(a&b)+11*(a&~b)-3*(a^b)-7*a+3*~(a|~b))-1*(~((8*(a&b)+11*(a&~b)-3*(a^b)-7*a+3*~(a|~b))&~(8*(a&b)+11*(a&~b)-3*(a^b)-7*a+3*~(a|~b))))+(~((8*(a&b)+11*(a&~b)-3*(a^b)-7*a+3*~(a|~b))^y))+y-1*((8*(a&b)+11*(a&~b)-3*(a^b)-7*a+3*~(a|~b))|~y)+4*((8*(a&b)+11*(a&~b)-3*(a^b)-7*a+3*~(a|~b))|y)+4*(~((8*(a&b)+11*(a&~b)-3*(a^b)-7*a+3*~(a|~b))|y))-1*(~((8*(a&b)+11*(a&~b)-3*(a^b)-7*a+3*~(a|~b))|~y))-1*((8*(a&b)+11*(a&~b)-3*(a^b)-7*a+3*~(a|~b))&~y)-6*((8*(a&b)+11*(a&~b)-3*(a^b)-7*a+3*~(a|~b))&y),3*(~(a&y)),(8*(a&b)+11*(a&~b)-3*(a^b)-7*a+3*~(a|~b))
x+2*(~(x^(1*(a&b)+2*(a&~b)-6*(a^b)+4*~(a&b)-4*~(a|b)+3*~(a|~b))))+(x|(1*(a&b)+2*(a&~b)-6*(a^b)+4*~(a&b)-4*~(a|b)+3*~(a|~b)))-1*~x+(x^(1*(a&b)+2*(a&~b)-6*(a^b)+4*~(a&b)-4*~(a|b)+3*~(a|~b)))-1*(~(x&(1*(a&b)+2*(a&~b)-6*(a^b)+4*~(a&b)-4*~(a|b)+3*~(a|~b))))-1*(~(x&~x))-1*(~(x&~(1*(a&b)+2*(a&~b)-6*(a^b)+4*~(a&b)-4*~(a|b)+3*~(a|~b))))+1*(~(x|(1*(a&b)+2*(a&~b)-6*(a^b)+4*~(a&b)-4*~(a|b)+3*~(a|~b))))+3*(~(x|~(1*(a&b)+2*(a&~b)-6*(a^b)+4*~(a&b)-4*~(a|b)+3*~(a|~b))))-2*(x&~(1*(a&b)+2*(a&~b)-6*(a^b)+4*~(a&b)-4*~(a|b)+3*~(a|~b)))-2*(x&(1*(a&b)+2*(a&~b)-6*(a^b)+4*~(a&b)-4*~(a|b)+3*~(a|~b))),1*b-(x|~b),(1*(a&b)+2*(a&~b)-6*(a^b)+4*~(a&b)-4*~(a|b)+3*~(a|~b))
-1*((-3*(a&b)-3*(a&~b)-1*(a|b)+5*~(a&~a)-5*~(a|b)-4*~(a|~b))|~y)+(~((-3*(a&b)-3*(a&~b)-1*(a|b)+5*~(a&~a)-5*~(a|b)-4*~(a|~b))^y))+~(-3*(a&b)-3*(a&~b)-1*(a|b)+5*~(a&~a)-5*~(a|b)-4*~(a|~b))-1*((-3*(a&b)-3*(a&~b)-1*(a|b)+5*~(a&~a)-5*~(a|b)-4*~(a|~b))^y)+(~((-3*(a&b)-3*(a&~b)-1*(a|b)+5*~(a&~a)-5*~(a|b)-4*~(a|~b))&~y))-1*(~((-3*(a&b)-3*(a&~b)-1*(a|b)+5*~(a&~a)-5*~(a|b)-4*~(a|~b))&~(-3*(a&b)-3*(a&~b)-1*(a|b)+5*~(a&~a)-5*~(a|b)-4*~(a|~b))))+((-3*(a&b)-3*(a&~b)-1*(a|b)+5*~(a&~a)-5*~(a|b)-4*~(a|~b))|y)-2*(~((-3*(a&b)-3*(a&~b)-1*(a|b)+5*~(a&~a)-5*~(a|b)-4*~(a|~b))|y))-3*(~((-3*(a&b)-3*(a&~b)-1*(a|b)+5*~(a&~a)-5*~(a|b)-4*~(a|~b))|~y))+1*((-3*(a&b)-3*(a&~b)-1*(a|b)+5*~(a&~a)-5*~(a|b)-4*~(a|~b))&~y)-1*((-3*(a&b)-3*(a&~b)-1*(a|b)+5*~(a&~a)-5*~(a|b)-4*~(a|~b))&y),1*~y-2*(~(a&y)),(-3*(a&b)-3*(a&~b)-1*(a|b)+5*~(a&~a)-5*~(a|b)-4*~(a|~b))
-1*x-1*(x|(4*(a&b)+3*(a&~b)-2*a-1*~(a&~a)+1*~(a|b)+2*~(a|~b)))-2*(4*(a&b)+3*(a&~b)-2*a-1*~(a&~a)+1*~(a|b)+2*~(a|~b))-1*(~(x&(4*(a&b)+3*(a&~b)-2*a-1*~(a&~a)+1*~(a|b)+2*~(a|~b))))-2*(~(x&~(4*(a&b)+3*(a&~b)-2*a-1*~(a&~a)+1*~(a|b)+2*~(a|~b))))+~x-1*(x|~(4*(a&b)+3*(a&~b)-2*a-1*~(a&~a)+1*~(a|b)+2*~(a|~b)))-1*(x^(4*(a&b)+3*(a&~b)-2*a-1*~(a&~a)+1*~(a|b)+2*~(a|~b)))-1*~(4*(a&b)+3*(a&~b)-2*a-1*~(a&~a)+1*~(a|b)+2*~(a|~b))+3*(~(x|(4*(a&b)+3*(a&~b)-2*a-1*~(a&~a)+1*~(a|b)+2*~(a|~b))))+6*(~(x|~(4*(a&b)+3*(a&~b)-2*a-1*~(a&~a)+1*~(a|b)+2*~(a|~b))))+6*(x&~(4*(a&b)+3*(a&~b)-2*a-1*~(a&~a)+1*~(a|b)+2*~(a|~b)))+6*(x&(4*(a&b)+3*(a&~b)-2*a-1*~(a&~a)+1*~(a|b)+2*~(a|~b))),-(~(x^b)),(4*(a&b)+3*(a&~b)-2*a-1*~(a&~a)+1*~(a|b)+2*~(a|~b))
-1*~y-1*((1*(a&b)-12*(a&~b)+11*(a^b)+2*~(a&b)-2*~(a|b)-13*~(a|~b))|y)+(1*(a&b)-12*(a&~b)+11*(a^b)+2*~(a&b)-2*~(a|b)-13*~(a|~b))-1*(~((1*(a&b)-12*(a&~b)+11*(a^b)+2*~(a&b)-2*~(a|b)-13*~(a|~b))^y))+(~((1*(a&b)-12*(a&~b)+11*(a^b)+2*~(a&b)-2*~(a|b)-13*~(a|~b))&~y))-1*((1*(a&b)-12*(a&~b)+11*(a^b)+2*~(a&b)-2*~(a|b)-13*~(a|~b))^y)-1*(~((1*(a&b)-12*(a&~b)+11*(a^b)+2*~(a&b)-2*~(a|b)-13*~(a|~b))|y))-1*((1*(a&b)-12*(a&~b)+11*(a^b)+2*~(a&b)-2*~(a|b)-13*~(a|~b))&y),-(~(a&y))-(a|~y),(1*(a&b)-12*(a&~b)+11*(a^b)+2*~(a&b)-2*~(a|b)-13*~(a|~b))
-1*(-11*(a&b)-7*(a&~b)+7*a+5*b-4*~(a|~b))-1*(~(x&~x))+2*x-1*(~(x^(-11*(a&b)-7*(a&~b)+7*a+5*b-4*~(a|~b))))+(x|~(-11*(a&b)-7*(a&~b)+7*a+5*b-4*~(a|~b)))-2*(x^(-11*(a&b)-7*(a&~b)+7*a+5*b-4*~(a|~b)))+2*(x|(-11*(a&b)-7*(a&~b)+7*a+5*b-4*~(a|~b)))+2*~(-11*(a&b)-7*(a&~b)+7*a+5*b-4*~(a|~b))+1*(~(x|(-11*(a&b)-7*(a&~b)+7*a+5*b-4*~(a|~b))))+4*(~(x|~(-11*(a&b)-7*(a&~b)+7*a+5*b-4*~(a|~b))))-3*(x&~(-11*(a&b)-7*(a&~b)+7*a+5*b-4*~(a|~b)))-2*(x&(-11*(a&b)-7*(a&~b)+7*a+5*b-4*~(a|~b))),1*~x+1*(~(x&b)),(-11*(a&b)-7*(a&~b)+7*a+5*b-4*~(a|~b))
~y-2*((2*(a&b)-1*(a|b)-2*~(a|b)+1*~(a|~b)+2*~b)|y)+(~((2*(a&b)-1*(a|b)-2*~(a|b)+1*~(a|~b)+2*~b)&y))-2*(2*(a&b)-1*(a|b)-2*~(a|b)+1*~(a|~b)+2*~b)-1*((2*(a&b)-1*(a|b)-2*~(a|b)+1*~(a|~b)+2*~b)^y)-1*y+3*(~((2*(a&b)-1*(a|b)-2*~(a|b)+1*~(a|~b)+2*~b)|~y))+3*((2*(a&b)-1*(a|b)-2*~(a|b)+1*~(a|~b)+2*~b)&~y)+7*((2*(a&b)-1*(a|b)-2*~(a|b)+1*~(a|~b)+2*~b)&y),2*(~(a^y)),(2*(a&b)-1*(a|b)-2*~(a|b)+1*~(a|~b)+2*~b)
