#poly,groundtruth
-8*~y*(x&y)-8*~y*(x&~y)+10*~y*x+3*~y*~(x|y)+8*(x^y)*(x&y)+8*(x^y)*(x&~y)-10*(x^y)*x-3*(x^y)*~(x|y)-3*~y*(x|~y)-1*~y*~x+3*(x^y)*(x|~y)+1*(x^y)*~x,1*~y-1*(x^y)
21*~(x&y)*(x&y)+14*~(x&y)*(x&~y)-15*~(x&y)*(x|y)-7*~(x&y)*~(x&~y)+21*~(x&y)*~(x|~y)+6*~(x&y)*~(x|y),1*~(x&y)
7*y*(x&y)+7*y*(x&~y)-1*y*~(x&~x)+7*y*~(x|y)+2*y*~(x|~y)+35*(x&~y)*(x&y)+35*(x&~y)*(x&~y)-5*(x&~y)*~(x&~x)+35*(x&~y)*~(x|y)+10*(x&~y)*~(x|~y)-5*y*(x|~y)-25*(x&~y)*(x|~y),-1*y-5*(x&~y)
-12*(x|y)*(x&y)-22*(x|y)*(x&~y)+8*(x|y)*~(x&y)-13*(x|y)*~(x|y)-4*(x|y)*~(x|~y)-7*(x|y)*~x-24*(x&~y)*(x&y)-44*(x&~y)*(x&~y)+16*(x&~y)*~(x&y)-26*(x&~y)*~(x|y)-8*(x&~y)*~(x|~y)-14*(x&~y)*~x+2*(x|y)*(x^y)+11*(x|y)*(x|~y)+4*(x&~y)*(x^y)+22*(x&~y)*(x|~y),1*(x|y)+2*(x&~y)
121*~y*(x&y)+121*~y*(x&~y)+55*~y*(x|y)-187*~y*x-11*~y*~(x|y)-66*~y*~(x|~y),11*~y
-48*~(x|y)*(x&y)-48*~(x|y)*(x&~y)+84*~(x|y)*(x|~y)-30*~(x|y)*x-60*~(x|y)*~(x|y)+24*~(x|y)*~(x|~y)+14*~(x&~x)*(x&y)+14*~(x&~x)*(x&~y)-21*~(x&~x)*x+14*~(x&~x)*~(x|y)+14*~(x&~x)*~(x|~y)-18*~(x|y)*~x-21*~(x&~x)*~x,-6*~(x|y)+7*~(x&~x)
-16*(x^y)*(x&~y)+8*(x^y)*y-12*(x^y)*~(x|y)+16*(x^y)*~y+7*~(x&y)*~(x|y)-14*~(x&y)*~y-8*(x^y)*(x&y)+4*(x^y)*(x|y)-8*(x^y)*~(x|~y)-14*~(x&y)*(x&y)+7*~(x&y)*(x|y)-14*~(x&y)*~(x|~y),-4*(x^y)+7*~(x&y)
48*~x*(x&y)+21*~x*(x&~y)-18*~x*(x|~y)+18*~x*~(x|y)+30*~x*~(x|~y)+12*~x*~y-18*~x*(x|y)-15*~x*~(x&~y),3*~x
20*(x|~y)*(x&y)+16*(x|~y)*(x&~y)-28*(x|~y)*(x|y)+10*(x|~y)*~(x&y)-12*(x|~y)*~(x|y)+10*(x|~y)*~(x|~y)+10*~y*(x&y)+8*~y*(x&~y)-14*~y*(x|y)+5*~y*~(x&y)-6*~y*~(x|y)+5*~y*~(x|~y)+6*(x|~y)*y+3*~y*y,2*(x|~y)+1*~y
7*~(x|~y)*(x&y)+5*~(x|~y)*(x&~y)-4*~(x|~y)*~(x&y)+11*~(x|~y)*~(x|y)+5*~(x|~y)*~(x|~y)-6*~(x|~y)*~(x^y),-1*~(x|~y)
8*~(x|~y)*(x&y)+20*~(x|~y)*(x&~y)-8*~(x|~y)*(x|~y)+4*~(x|~y)*~(x|y)+8*~(x|~y)*~(x|~y)-12*~(x|~y)*(x^y)-4*~(x|~y)*x,4*~(x|~y)
-17*~(x|y)*(x&y)+2*~(x|y)*(x&~y)-4*~(x|y)*~(x&~x)+8*~(x|y)*~(x^y)-5*~(x|y)*~(x|y)-8*~(x|y)*~(x|~y)-391*(x&y)*(x&y)+46*(x&y)*(x&~y)-92*(x&y)*~(x&~x)+184*(x&y)*~(x^y)-115*(x&y)*~(x|y)-184*(x&y)*~(x|~y)+1*~(x|y)*x+11*~(x|y)*y+23*(x&y)*x+253*(x&y)*y,1*~(x|y)+23*(x&y)
-11*x*(x&y)-8*x*(x&~y)-19*x*~(x|y)+7*x*~y-108*~(x|~y)*(x&y)+72*~(x|~y)*(x&~y)+24*~(x|~y)*~(x&y)-60*~(x|~y)*~(x|y)-84*~(x|~y)*~y-1*x*y+11*x*~(x&~y)-11*x*~(x|~y)-12*~(x|~y)*y+132*~(x|~y)*~(x&~y)-132*~(x|~y)*~(x|~y),1*x-12*~(x|~y)
4*x*(x&y)+3*x*(x&~y)+2*x*(x|~y)-2*x*~(x|y)+5*x*~(x|~y)-5*x*(x|y)+1*x*~(x&y),-1*x
-27*(x&~y)*(x&y)-39*(x&~y)*(x&~y)+42*(x&~y)*(x|y)+18*(x&~y)*~(x|y)-36*(x&~y)*~(x|~y)-12*(x&~y)*~(x^y)-3*(x&~y)*~x,-3*(x&~y)
-7*x*(x&y)+4*x*(x&~y)-1*x*~(x|y)-7*x*~(x|~y)-7*~(x&~y)*(x&y)+4*~(x&~y)*(x&~y)-1*~(x&~y)*~(x|y)-7*~(x&~y)*~(x|~y)-5*x*(x|y)+11*x*y-5*~(x&~y)*(x|y)+11*~(x&~y)*y,1*x+1*~(x&~y)
-154*~(x^y)*(x&y)+161*~(x^y)*~(x&~y)-112*~(x^y)*~(x|y)-154*~(x^y)*~(x|~y)-42*~(x^y)*~y+49*~(x^y)*(x&~y),-7*~(x^y)
161*(x&y)*(x&y)+182*(x&y)*(x&~y)-28*(x&y)*(x|~y)-70*(x&y)*~(x&y)+231*(x&y)*~(x|y)+154*(x&y)*~(x|~y)-77*(x&y)*~(x&~x)-49*(x&y)*~(x^y),-7*(x&y)
-8*(x|y)*(x&y)-20*(x|y)*(x&~y)+40*(x|y)*y-28*(x|y)*~(x^y)+8*(x|y)*~(x|y)-60*(x|y)*~(x|~y)+24*(x|y)*~(x&y),-4*(x|y)
-3*~(x&~x)*(x&y)+2*~(x&~x)*(x&~y)+15*~(x&~x)*~(x&~y)-14*~(x&~x)*~(x|~y)-1*~(x&~x)*~y-11*~(x&~x)*~(x^y)-2*~(x&~x)*~(x|y),-1*~(x&~x)
-48*~(x&~x)*(x&y)-114*~(x&~x)*(x&~y)+84*~(x&~x)*~(x&~x)-90*~(x&~x)*~(x|y)-24*~(x&~x)*~(x|~y)+24*~(x&~x)*x-66*~(x&~x)*y,6*~(x&~x)
2*~(x&y)*y+1*~(x&y)*~(x|y)-2*~(x&y)*~y+22*(x|y)*(x&~y)-44*(x|y)*y+11*(x|y)*~(x|y)-22*(x|y)*~y-4*~(x&y)*(x&y)+1*~(x&y)*x-3*~(x&y)*~(x|~y)+44*(x|y)*(x&y)-11*(x|y)*x+33*(x|y)*~(x|~y),1*~(x&y)+11*(x|y)
-77*(x&~y)*(x&y)+21*(x&~y)*(x&~y)+84*(x&~y)*~(x&~y)-49*(x&~y)*~(x|y)-77*(x&~y)*~(x|~y)-14*(x&~y)*~y+14*(x&~y)*(x^y)-14*(x&~y)*~(x&y),-7*(x&~y)
11*~y*(x&y)-33*~y*(x&~y)+22*~y*x-11*~y*~(x|y)+33*~y*~(x|~y)-44*~y*y,11*~y
18*~(x&y)*(x&y)-3*~(x&y)*~(x|~y)+48*~(x|y)*(x&y)-48*~(x|y)*(x&~y)+24*~(x|y)*(x^y)-144*~(x|y)*~(x&~y)+120*~(x|y)*~(x|y)+108*~(x|y)*~(x|~y)-21*~(x&y)*(x|~y)+18*~(x&y)*~y+84*~(x|y)*(x|~y)-72*~(x|y)*~y,3*~(x&y)+12*~(x|y)
-35*y*(x&y)-5*y*(x&~y)+10*y*x+30*y*y+5*y*~(x|y)-25*y*~(x|~y)+70*~(x|y)*(x&y)+70*~(x|y)*(x&~y)-56*~(x|y)*x+14*~(x|y)*~(x|y)+14*~(x|y)*~(x|~y),-5*y-14*~(x|y)
66*x*(x&y)+77*x*~(x|y)+77*x*~(x|~y)-22*x*~x+55*x*(x&~y)+11*x*~(x&y)-55*x*~(x&~x),-11*x
-14*~(x|y)*(x&~y)+14*~(x|y)*(x|y)+42*~(x|y)*y+7*~(x|y)*~(x|y)-56*~(x|y)*(x&y)+7*~(x|y)*x-49*~(x|y)*~(x|~y),-7*~(x|y)
-5*(x|y)*(x&~y)+30*(x|y)*~(x|y)+45*(x|y)*~(x|~y)+10*(x|y)*~y+6*~(x|~y)*(x&~y)-4*~(x|~y)*x+16*~(x|~y)*~(x|y)+14*~(x|~y)*~(x|~y)-4*~(x|~y)*~y+10*(x|y)*(x&y)-5*(x|y)*y-35*(x|y)*~x+4*~(x|~y)*(x&y)-2*~(x|~y)*y-14*~(x|~y)*~x,-5*(x|y)+2*~(x|~y)
-54*(x|~y)*(x&y)+51*(x|~y)*(x&~y)+6*(x|~y)*y+66*(x|~y)*~(x&~y)-69*(x|~y)*~(x|y)-21*(x|~y)*~(x|~y)-33*(x|~y)*(x^y)-21*(x|~y)*(x|y),3*(x|~y)
-44*(x^y)*(x&y)-66*(x^y)*(x&~y)-11*(x^y)*~(x|y)-44*(x^y)*~(x|~y)-6*(x|y)*(x&y)-10*(x|y)*(x&~y)-4*(x|y)*(x^y)+6*(x|y)*~(x&y)-9*(x|y)*~(x|y)-8*(x|y)*~(x|~y)+55*(x^y)*(x|y)+22*(x^y)*~y+5*(x|y)*(x|y)+2*(x|y)*~y,-11*(x^y)+1*(x|y)
-22*y*(x&y)-154*y*(x&~y)-110*y*(x|y)+242*y*(x|~y)-143*y*~(x|y)+88*y*~(x|~y)+14*~x*(x&y)+98*~x*(x&~y)+70*~x*(x|y)-154*~x*(x|~y)+91*~x*~(x|y)-56*~x*~(x|~y)+11*y*~(x&y)-121*y*~(x^y)-7*~x*~(x&y)+77*~x*~(x^y),11*y-7*~x
119*~(x&~y)*(x&y)-7*~(x&~y)*~(x^y)+70*~(x&~y)*(x&~y)-77*~(x&~y)*x-42*~(x&~y)*~(x&~y)+42*~(x&~y)*~(x|y)+35*~(x&~y)*~(x|~y),7*~(x&~y)
3*(x|~y)*(x&y)+3*(x|~y)*(x&~y)-6*(x|~y)*x+36*(x|~y)*~(x|y)+36*(x|~y)*~(x|~y)-39*(x|~y)*~x,3*(x|~y)
12*y*(x&~y)+13*y*~(x|y)-1*y*~y-8*x*(x&~y)+2*x*y-9*x*~(x|y)-1*x*~y+11*y*(x&y)+1*y*(x|y)-11*y*~(x&~x)+11*y*~(x|~y)-11*x*(x&y)-1*x*(x|y)+11*x*~(x&~x)-11*x*~(x|~y),-1*y-1*x
-4*~(x|~y)*(x&y)+26*~(x|~y)*(x&~y)-4*~(x|~y)*(x|y)+22*~(x|~y)*~(x|y)-4*~(x|~y)*~(x|~y)-20*~(x|~y)*~y-18*~y*(x&y)+9*~y*(x&~y)+9*~y*~(x|y)-18*~y*~(x|~y)-12*~y*~y+10*~(x|~y)*y+15*~y*y,-2*~(x|~y)+3*~y
-6*~(x&~y)*(x&~y)+2*~(x&~y)*~(x^y)-1*~(x&~y)*~(x|y)-5*~(x&~y)*~(x|~y)+8*(x^y)*(x&y)+8*(x^y)*(x&~y)-8*(x^y)*~(x&~y)+9*(x^y)*~(x|y)+15*(x^y)*~(x|~y)+7*~(x&~y)*(x^y)-1*~(x&~y)*y-7*(x^y)*(x^y)+1*(x^y)*y,-1*~(x&~y)-1*(x^y)
-238*~(x|y)*(x&y)-170*~(x|y)*(x&~y)+68*~(x|y)*(x|y)+17*~(x|y)*~(x|y)-119*~(x|y)*~(x|~y)+119*~(x|y)*x+68*~(x|y)*y,-17*~(x|y)
-20*~(x|~y)*(x&y)-5*~(x|~y)*(x&~y)+10*~(x|~y)*(x|y)-10*~(x|~y)*~(x&y)-10*~(x|~y)*~(x|~y)+5*~(x|~y)*~(x&~y),5*~(x|~y)
-143*~(x|~y)*(x&y)-117*~(x|~y)*(x&~y)+52*~(x|~y)*(x|y)+130*~(x|~y)*~(x&~y)-91*~(x|~y)*~(x|y)-247*~(x|~y)*~(x|~y)+78*~(x|~y)*(x^y)-26*~(x|~y)*~(x^y),-13*~(x|~y)
5*(x&y)*(x&y)-55*(x&y)*(x&~y)+55*(x&y)*~(x&y)-45*(x&y)*~(x|y)-50*(x&y)*~(x|~y)-5*(x&y)*~x+1*(x|~y)*(x&y)-11*(x|~y)*(x&~y)+11*(x|~y)*~(x&y)-9*(x|~y)*~(x|y)-10*(x|~y)*~(x|~y)-1*(x|~y)*~x+5*(x&y)*(x^y)+1*(x|~y)*(x^y),-5*(x&y)-1*(x|~y)
-8*~(x|y)*(x&y)-10*~(x|y)*(x&~y)-4*~(x|y)*~(x&~x)-10*~(x|y)*~(x|y)+6*~(x|y)*~(x|~y)+14*~(x|y)*(x|~y)+2*~(x|y)*~y,-2*~(x|y)
28*(x^y)*~(x|~y)-7*(x^y)*~x+28*(x^y)*(x&y)+21*(x^y)*(x&~y)+7*(x^y)*~(x&y)-35*(x^y)*~(x&~x)+28*(x^y)*~(x|y),7*(x^y)
35*(x&~y)*(x&y)+35*(x&~y)*(x&~y)-25*(x&~y)*(x|y)+10*(x&~y)*~(x|y)+35*(x&~y)*~(x|~y)-5*(x&~y)*~x-7*y*(x&y)-7*y*(x&~y)+5*y*(x|y)-2*y*~(x|y)-7*y*~(x|~y)+1*y*~x-5*(x&~y)*x+1*y*x,-5*(x&~y)+1*y
9*~(x&~y)*(x&y)+18*~(x&~y)*~(x|y)+9*~(x&~y)*~(x|~y)-6*~(x&~y)*~x-3*~(x&~y)*~y-12*y*(x&y)-24*y*~(x|y)-12*y*~(x|~y)+8*y*~x+4*y*~y+6*~(x&~y)*(x&~y)-6*~(x&~y)*~(x&~x)-6*~(x&~y)*~(x^y)-8*y*(x&~y)+8*y*~(x&~x)+8*y*~(x^y),3*~(x&~y)-4*y
5*(x|y)*(x&y)-20*(x|y)*(x&~y)-20*(x|y)*y+20*(x|y)*~(x&~x)-20*(x|y)*~(x|y)-10*(x|y)*~(x|~y)-1*~(x^y)*(x&y)+4*~(x^y)*(x&~y)+4*~(x^y)*y-4*~(x^y)*~(x&~x)+4*~(x^y)*~(x|y)+2*~(x^y)*~(x|~y)-10*(x|y)*(x|~y)+5*(x|y)*~(x&y)+2*~(x^y)*(x|~y)-1*~(x^y)*~(x&y),5*(x|y)-1*~(x^y)
26*(x&y)*(x&y)+39*(x&y)*(x&~y)-26*(x&y)*~(x&y)+13*(x&y)*~(x|~y)+13*(x&y)*~y+18*~(x|y)*(x&y)+27*~(x|y)*(x&~y)-18*~(x|y)*~(x&y)+9*~(x|y)*~(x|~y)+9*~(x|y)*~y-13*(x&y)*x+26*(x&y)*~x-9*~(x|y)*x+18*~(x|y)*~x,-13*(x&y)-9*~(x|y)
-44*y*(x&y)+11*y*(x&~y)-66*y*~(x|y)-44*y*~(x|~y)-22*y*y+77*y*~(x&~y),-11*y
96*~y*(x&y)-60*~y*x+48*~y*~(x&y)-24*~y*~(x|y)-42*~y*~(x|~y)-40*~(x^y)*(x&y)-30*~(x^y)*~(x|y)-15*~(x^y)*~(x|~y)+18*~y*(x&~y)-12*~y*(x|y)-30*~y*~(x^y)-15*~(x^y)*(x&~y)+10*~(x^y)*(x|y)+25*~(x^y)*~(x^y),6*~y+5*~(x^y)
9*(x|y)*(x&y)+16*(x|y)*(x&~y)-10*(x|y)*(x|~y)-14*(x|y)*~(x&y)+34*(x|y)*~(x|y)+17*(x|y)*~(x|~y)+36*~(x|y)*(x&y)+64*~(x|y)*(x&~y)-40*~(x|y)*(x|~y)-56*~(x|y)*~(x&y)+136*~(x|y)*~(x|y)+68*~(x|y)*~(x|~y)+7*(x|y)*(x^y)-11*(x|y)*~x+28*~(x|y)*(x^y)-44*~(x|y)*~x,1*(x|y)+4*~(x|y)
-66*(x^y)*(x&y)-132*(x^y)*(x&~y)+121*(x^y)*~(x&y)-165*(x^y)*~(x|y)-220*(x^y)*~(x|~y)+33*(x^y)*~x-4*x*(x&y)+1*x*~(x&y)+3*x*~(x|y)-2*x*~(x|~y)-3*x*~x+55*(x^y)*y+5*x*y,11*(x^y)-1*x
-88*(x^y)*(x&y)-88*(x^y)*(x&~y)+77*(x^y)*~(x&~x)-209*(x^y)*~(x|y)-209*(x^y)*~(x|~y)+12*(x|y)*(x&y)+16*(x|y)*(x&~y)-17*(x|y)*~(x&~x)+4*(x|y)*~(x^y)+23*(x|y)*~(x|y)+27*(x|y)*~(x|~y)+121*(x^y)*~x-11*(x|y)*~x,11*(x^y)+1*(x|y)
-4*~(x&~x)*(x&y)-9*~(x&~x)*(x&~y)-9*~(x&~x)*~(x|y)-4*~(x&~x)*~(x|~y)+3*~(x&~x)*~(x&~x)+5*~(x&~x)*~y,1*~(x&~x)
-12*~x*(x&y)-12*~x*(x&~y)+24*~x*(x|~y)-27*~x*~(x|y)+12*~x*~(x|~y)-15*~x*(x|y),3*~x
-24*(x|~y)*(x&y)-24*(x|~y)*(x&~y)+26*(x|~y)*x+8*(x|~y)*~(x&~x)+2*(x|~y)*~(x|y)-6*(x|~y)*~(x|~y)-60*(x&y)*(x&y)-60*(x&y)*(x&~y)+65*(x&y)*x+20*(x&y)*~(x&~x)+5*(x&y)*~(x|y)-15*(x&y)*~(x|~y)-8*(x|~y)*(x|~y)-20*(x&y)*(x|~y),-2*(x|~y)-5*(x&y)
-49*(x|y)*(x&y)-42*(x|y)*(x&~y)-21*(x|y)*~(x|y)-49*(x|y)*~(x|~y)+7*(x|y)*~x-21*(x|~y)*(x&y)-18*(x|~y)*(x&~y)-9*(x|~y)*~(x|y)-21*(x|~y)*~(x|~y)+3*(x|~y)*~x+35*(x|y)*(x|y)+7*(x|y)*~(x^y)+15*(x|~y)*(x|y)+3*(x|~y)*~(x^y),7*(x|y)+3*(x|~y)
8*y*(x&~y)-6*y*x+8*y*~(x^y)-6*y*~(x|y)-3*y*~(x|~y)-24*~x*(x&y)-24*~x*(x&~y)-24*~x*~(x|y)+6*~x*~(x|~y)-5*y*(x|~y)+2*y*~(x&~x)+30*~x*(x|~y)-12*~x*~(x&~x),1*y+6*~x
-40*(x|y)*(x&y)-35*(x|y)*(x&~y)-15*(x|y)*~(x|y)+10*(x|y)*~y+6*y*(x&y)+3*y*(x&~y)-2*y*~(x&y)-1*y*~(x|y)+2*y*~y-15*(x|y)*(x^y)+35*(x|y)*(x|y)-25*(x|y)*~(x|~y)+3*y*(x^y)-7*y*(x|y)+5*y*~(x|~y),5*(x|y)+1*y
12*~(x&~x)*(x&y)+48*~(x&~x)*(x&~y)+48*~(x&~x)*~(x|y)+56*~(x&~x)*~(x|~y)-8*~(x&~x)*y-44*~(x&~x)*~(x&y),-4*~(x&~x)
-110*(x&~y)*(x&~y)-110*(x&~y)*~(x|y)+130*(x&~y)*~y+10*(x&~y)*(x&y)-10*(x&~y)*~(x&y)+20*(x&~y)*~(x|~y),-10*(x&~y)
-19*~(x|y)*(x&y)-38*~(x|y)*(x&~y)+38*~(x|y)*(x|y)+19*~(x|y)*~(x&~x)+95*~(x|y)*~(x|~y)-133*~(x|y)*~(x&~y)+114*~(x|y)*~(x^y)+19*~(x|y)*~(x|y),-19*~(x|y)
2*~y*(x&y)+2*~y*(x&~y)-1*~y*x+1*~y*~x,-1*~y
28*~x*(x&y)+64*~x*(x&~y)-24*~x*(x|y)+40*~x*~(x|y)+36*~x*~(x|~y)-22*~x*~y+4*(x|y)*(x&y)+8*(x|y)*~(x|~y)+11*(x|y)*~y-6*~x*(x|~y)-14*~x*~(x&y)-3*(x|y)*(x|~y)-7*(x|y)*~(x&y),2*~x-1*(x|y)
154*(x&y)*(x&y)+154*(x&y)*(x&~y)+14*(x&y)*(x|~y)+14*(x&y)*~(x|~y)-154*(x&y)*x,-14*(x&y)
-69*(x|~y)*(x&y)-42*(x|~y)*(x&~y)+36*(x|~y)*(x|y)-39*(x|~y)*~(x|y)-66*(x|~y)*~(x|~y)+6*(x|~y)*~y+3*(x|~y)*(x|~y)+33*(x|~y)*~(x&~y),-3*(x|~y)
-96*~(x^y)*(x&y)-102*~(x^y)*(x&~y)+6*~(x^y)*(x^y)+132*~(x^y)*x-6*~(x^y)*~(x|y)+30*~(x^y)*~(x|~y)-42*~(x^y)*(x|y),6*~(x^y)
-1*~(x|~y)*(x&y)+3*~(x|~y)*(x&~y)-5*~(x|~y)*~(x&y)+3*~(x|~y)*~(x|y)+4*~(x|~y)*~(x|~y)+1*~(x|~y)*~y,1*~(x|~y)
12*y*(x&y)-20*y*(x&~y)-30*y*~(x&~y)+20*y*~(x^y)+12*y*~(x|y)+10*y*~(x|~y)+22*y*(x^y),-2*y
-72*~(x|y)*(x&y)+84*~(x|y)*(x&~y)-144*~(x|y)*~(x&y)+144*~(x|y)*~(x|y)+72*~(x|y)*~(x|~y)+60*~(x|y)*(x|y)-12*~(x|y)*~y,12*~(x|y)
20*~y*(x&y)+20*~y*(x&~y)+16*~y*~(x|~y)-12*~y*~x-16*~y*x+16*~y*~(x|y),-4*~y
16*(x|y)*(x&y)+10*(x|y)*(x&~y)-11*(x|y)*x-1*(x|y)*~(x|y)+5*(x|y)*~(x|~y)-6*(x|y)*y,1*(x|y)
-49*(x&y)*(x&y)+14*(x&y)*(x|~y)+42*(x&y)*y-84*(x&y)*~(x|~y)-28*(x&y)*(x&~y)+49*(x&y)*(x^y)+21*(x&y)*~(x|y)-28*(x&y)*~y,-7*(x&y)
-110*~(x&~x)*(x&y)-66*~(x&~x)*(x&~y)+44*~(x&~x)*x+22*~(x&~x)*~(x&~y)-55*~(x&~x)*~(x|y)-44*~(x&~x)*~(x|~y)+11*~(x&~x)*(x|y)+22*~(x&~x)*~(x^y),11*~(x&~x)
18*~(x&~y)*(x&y)+66*~(x&~y)*(x&~y)-36*~(x&~y)*(x^y)+12*~(x&~y)*~(x&~y)-15*~(x&~y)*~(x|y)-33*~(x&~y)*x+21*~(x&~y)*~(x|~y),3*~(x&~y)
6*(x|y)*(x&~y)-4*(x|y)*(x|~y)-4*(x|y)*(x&y)+10*(x|y)*~(x^y)-4*(x|y)*~(x|y)+2*(x|y)*~(x|~y),-2*(x|y)
-161*~y*(x&y)-84*~y*(x&~y)-91*~y*~(x|y)-91*~y*~(x|~y)+7*~y*~x+77*~y*x+77*~y*~(x&~y),7*~y
88*y*(x&y)+88*y*(x&~y)-99*y*(x|y)-33*y*~(x|y)+66*y*~(x|~y)+22*y*~x,11*y
-9*~x*(x&y)-8*~x*(x&~y)+6*~x*~(x&~x)-1*~x*~(x|y)-6*~x*~x-4*~(x|y)*(x&y)-20*~(x|y)*~(x|y)-16*~(x|y)*~(x|~y)+24*~(x|y)*~x-1*~x*(x^y)+2*~x*x-4*~(x|y)*(x^y)+8*~(x|y)*x,1*~x-4*~(x|y)
-28*(x|~y)*(x&y)-42*(x|~y)*(x&~y)-49*(x|~y)*~(x|y)+14*(x|~y)*~y-12*~(x^y)*(x&y)-18*~(x^y)*(x&~y)-21*~(x^y)*~(x|y)+6*~(x^y)*~y-7*(x|~y)*(x|y)+28*(x|~y)*(x|~y)-3*~(x^y)*(x|y)+12*~(x^y)*(x|~y),7*(x|~y)+3*~(x^y)
-35*~(x&~y)*(x&~y)-35*~(x&~y)*~(x|y)+28*~(x&~y)*~y+4*(x^y)*(x&y)+2*(x^y)*(x&~y)+4*(x^y)*~(x&y)+2*(x^y)*~(x|y)-4*(x^y)*~y-7*~(x&~y)*y-2*(x^y)*y,7*~(x&~y)-2*(x^y)
9*x*(x&y)+9*x*(x&~y)-9*x*(x|~y)+9*x*~(x|y)-1*x*~(x&~x),1*x
12*(x^y)*(x&y)-6*(x^y)*(x&~y)+9*(x^y)*~(x|y)+9*(x^y)*~(x|~y)-4*(x^y)*~x+7*(x^y)*~(x&y)-11*(x^y)*~(x&~y),-1*(x^y)
-1*(x&~y)*(x&y)-2*(x&~y)*(x&~y)-2*(x&~y)*~(x|y)-3*(x&~y)*~(x|~y)+1*(x&~y)*(x^y)+1*(x&~y)*~x,1*(x&~y)
-40*~x*(x&y)-10*~x*(x&~y)+15*~x*~(x|y)+30*~x*~(x|~y)-55*~x*~x-16*~(x&~x)*(x&y)-10*~(x&~x)*(x&~y)+6*~(x&~x)*x-21*~(x&~x)*~(x|y)-18*~(x&~x)*~(x|~y)+11*~(x&~x)*~x+15*~x*(x|~y)+30*~x*~(x&~y)+3*~(x&~x)*(x|~y)+6*~(x&~x)*~(x&~y),-5*~x+1*~(x&~x)
3*~y*(x&y)-12*~y*(x&~y)-6*~y*~(x&~y)+3*~y*~(x|y)-6*~y*~(x|~y)+9*~y*(x^y),3*~y
1*~y*(x&y)+3*~y*(x&~y)-2*~y*~(x&y)+2*~y*~x+11*~(x|y)*(x&y)+11*~(x|y)*(x&~y)+22*~(x|y)*~x-1*~y*~(x&~y)+1*~y*~(x^y)+1*~y*~(x|y)+2*~y*~(x|~y)+11*~(x|y)*~(x&~y)-11*~(x|y)*~(x^y)-11*~(x|y)*~(x|y)-22*~(x|y)*~(x|~y),-1*~y-11*~(x|y)
-50*~(x&y)*(x&y)+10*~(x&y)*(x&~y)-5*~(x&y)*x+60*~(x&y)*y-50*~(x&y)*~(x|y)-110*~(x&y)*~(x|~y)+55*~(x&y)*~x,-5*~(x&y)
8*~x*(x&y)+22*~x*(x&~y)+4*~x*(x|y)+26*~x*~(x|y)+8*~x*~(x|~y)+4*~(x^y)*(x&y)+11*~(x^y)*(x&~y)+2*~(x^y)*(x|y)+13*~(x^y)*~(x|y)+4*~(x^y)*~(x|~y)-14*~x*~(x&~x)-14*~x*~y-7*~(x^y)*~(x&~x)-7*~(x^y)*~y,2*~x+1*~(x^y)
-14*(x|~y)*(x&y)-84*(x|~y)*~(x|~y)-242*~x*(x&y)+242*~x*y+22*~x*~(x&y)-374*~x*~(x|~y)-91*(x|~y)*(x&~y)+77*(x|~y)*(x^y)+7*(x|~y)*x-7*(x|~y)*~(x|y)-143*~x*(x&~y)+121*~x*(x^y)+11*~x*x-11*~x*~(x|y),7*(x|~y)-11*~x
-35*x*(x&y)-50*x*(x^y)-35*x*~(x|y)+55*x*~(x|~y)-52*~(x|~y)*(x&y)-64*~(x|~y)*(x&~y)+16*~(x|~y)*~(x&~x)-52*~(x|~y)*~(x|y)-20*~(x|~y)*~(x|~y)+55*x*(x|~y)-15*x*~(x^y)+44*~(x|~y)*(x|~y)-12*~(x|~y)*~(x^y),-5*x+4*~(x|~y)
6*~(x&~x)*(x&~y)-6*~(x&~x)*~(x&~y)+12*~(x&~x)*~(x|y)+15*~(x&~x)*~(x|~y)-3*~(x&~x)*~x+3*~(x&~x)*(x&y)-3*~(x&~x)*(x^y)-6*~(x&~x)*~(x&y),3*~(x&~x)
14*(x&y)*(x&y)+42*(x&y)*(x&~y)-56*(x&y)*~(x&y)+42*(x&y)*~(x|y)+70*(x&y)*~(x|~y)+22*~(x|y)*(x&y)+66*~(x|y)*(x&~y)-88*~(x|y)*~(x&y)+66*~(x|y)*~(x|y)+110*~(x|y)*~(x|~y)-28*(x&y)*y-44*~(x|y)*y,14*(x&y)+22*~(x|y)
-60*(x&~y)*(x&~y)-50*(x&~y)*~(x|y)-5*(x&~y)*~(x|~y)-10*(x&~y)*~x-70*(x&~y)*(x&y)+55*(x&~y)*(x|~y)+10*(x&~y)*y,5*(x&~y)
-6*(x|y)*(x&y)-1*(x|y)*(x&~y)+7*(x|y)*y+1*(x|y)*~(x|y)-6*(x|y)*~(x|~y)+2*y*(x&y)-5*y*(x&~y)-5*y*y+4*y*~(x&y)-7*y*~(x|y)-2*y*~(x|~y)-2*(x|y)*~(x&~y)+2*y*~(x&~y),1*(x|y)+1*y
68*~(x|y)*(x&y)+255*~(x|y)*(x&~y)-34*~(x|y)*(x|~y)+255*~(x|y)*~(x|y)+34*~(x|y)*~(x|~y)-187*~(x|y)*~y-17*~(x|y)*~(x&~x),-17*~(x|y)
